name,school,place,category
 Charla Adkison , Kinston High School ," Kinston , Alabama ", 1985 Award | 7-12 Science 
 Karen Taylor , May Overby Elementary School ," Aberdeen , South Dakota ", 1995 Award | K-6 Science 
 Richard Taylor , J. J. Pearce High School ," Richardson , Texas ", 1995 Award | 7-12 Science 
 Candy Tennison , University Heights Elementary ," Jonesboro , Arkansas ", 1995 Award | K-6 Science 
 David Thiel , Green Valley High School ," Henderson , Nevada ", 1995 Award | 7-12 Mathematics 
 Olga Torres , Mission View Elementary School ," Tucson , Arizona ", 1995 Award | K-6 Mathematics 
 Mary Lou Tucker , Trace Crossings Elementary School ," Hoover , Alabama ", 1995 Award | K-6 Mathematics 
 Rebecca Umenthum , Belle Fourche Middle School ," Belle Fourche , South Dakota ", 1995 Award | 7-12 Mathematics 
 Barbara Ann Unger , Middlebury Union Middle School ," Middlebury , Vermont ", 1995 Award | 7-12 Mathematics 
 Betty Ussatis , Washington Elementary School ," Valley City , North Dakota ", 1995 Award | K-6 Science 
 Rita VanFleit , Shiloh Elementary School ," Lithonia , Georgia ", 1995 Award | K-6 Science 
 Laurie Vent , Marseilles Elementary ," Upper Sandusky , Ohio ", 1995 Award | K-6 Science 
 Kathleen Vielhaber , Northeast Middle School ," Creve Coeur , Missouri ", 1995 Award | 7-12 Mathematics 
 Barbara Walczak , Lincoln Elementary School ," Hammond , Indiana ", 1995 Award | K-6 Science 
 Elizabeth Walima , Rockport Elementary School ," Rockport , Massachusetts ", 1995 Award | K-6 Mathematics 
 Edna M. Waller , Magnolia Park Elementary School ," Ocean Springs , Mississippi ", 1995 Award | K-6 Mathematics 
 Maria Walsh , Pike High School ," Indianapolis , Indiana ", 1995 Award | 7-12 Science 
 Janet Walter , Timpview High School ," Provo , Utah ", 1995 Award | 7-12 Mathematics 
 Julie Weaver , Warren Miller Elementary School ," Mansfield , Pennsylvania ", 1995 Award | K-6 Science 
 Cathy Welch , Country View Elementary School ," Hooper , Utah ", 1995 Award | K-6 Science 
 Artis Whitley , Mildred Green Elementary School ," Washington , District of Columbia ", 1995 Award | K-6 Mathematics 
 Nancy Whitmore , Colony Middle School ," Palmer , Alaska ", 1995 Award | 7-12 Science 
 Thomas Whitney , Kadena High School ," APO , Armed Forces Pacific ", 1995 Award | 7-12 Mathematics 
 Robert Wille , Eagle Point High School ," Eagle Point , Oregon ", 1995 Award | 7-12 Science 
 Judith Williams , Central City High School ," Central City , Nebraska ", 1995 Award | 7-12 Science 
 Carol Williamson , Frontier Trail Junior High School ," Olathe , Kansas ", 1995 Award | 7-12 Science 
 Bill Woerner , Konawaena High School ," Kealakekua , Hawaii ", 1995 Award | 7-12 Science 
 Gordon Wong , Kaimiloa Elementary School ," Ewa Beach , Hawaii ", 1995 Award | K-6 Mathematics 
 Kimberly Wood , Mandeville Middle School ," Mandeville , Louisiana ", 1995 Award | K-6 Science 
 Mary Wyatt , Robert E. Lee Elementary School ," Spotsylvania , Virginia ", 1995 Award | K-6 Mathematics 
 Marjorie Yergen , Selah Middle School ," Selah , Washington ", 1995 Award | 7-12 Science 
 Janet Zahumeny , Roselle Park High School ," Roselle Park , New Jersey ", 1995 Award | 7-12 Mathematics 
 Fay Zenigami , Nanakuli High and Intermed. School ," Waianae , Hawaii ", 1995 Award | 7-12 Mathematics 
 Nancy Zimney , Central High School ," Grand Forks , North Dakota ", 1995 Award | 7-12 Mathematics 
,,,
 Luz Agosto , Bairoa I ," Caguas , Puerto Rico ", 1993 Award | K-6 Science 
 Paul Agranoff , St. Francis Middle School ," St. Francis , Minnesota ", 1993 Award | K-6 Mathematics 
 Shirley Alexander , Kermit R. Booker Sixth Grade Center ," Las Vegas , Nevada ", 1993 Award | K-6 Mathematics 
 John Aliveto , Midland Elementary School ," Elkins , West Virginia ", 1993 Award | K-6 Science 
 Mary Altieri , Van Cortlandtville ," Mohegan Lake , New York ", 1993 Award | K-6 Mathematics 
 Linda Antinone , Arlington Heights High School ," Ft. Worth , Texas ", 1993 Award | 7-12 Mathematics 
 Kenneth Appel , Yorktown High School ," Yorktown , New York ", 1993 Award | 7-12 Science 
 Vern Bangerter , Timpview High School ," Provo , Utah ", 1993 Award | 7-12 Science 
 Kathleen Beddingfield , Indian Avenue Elementary School ," Bridgeton , New Jersey ", 1993 Award | K-6 Science 
 Nancy Berkas , Milton Middle School ," Milton , Wisconsin ", 1993 Award | 7-12 Mathematics 
 Michele Bifelt , Jimmy Huntington School ," Huslia , Alaska ", 1993 Award | 7-12 Science 
 Desiree Bishop , Baker High School ," Mobile , Alabama ", 1993 Award | 7-12 Science 
 Karen Bishop , San Rafael Jr. High School ," Ferron , Utah ", 1993 Award | K-6 Science 
 Robinette Bowden , Mueller Park Junior High School ," Bountiful , Utah ", 1993 Award | 7-12 Mathematics 
 Georgia Brown , Franklin Park Magnet School ," Ft. Myers , Florida ", 1993 Award | K-6 Science 
 Robert Brown , Simmons Middle School ," Aberdeen , South Dakota ", 1993 Award | 7-12 Science 
 Patrice Buchanan , Ramon C. Cobbs Elementary School ," Newark , Delaware ", 1993 Award | K-6 Mathematics 
 Jetta Burton , Norman High School ," Norman , Oklahoma ", 1993 Award | 7-12 Mathematics 
 Mary Calder , Underhill Graded School ," Jericho , Vermont ", 1993 Award | K-6 Mathematics 
 Ann Carlyle , Gevirtz Graduate School of Education ," Goleta , California ", 1993 Award | K-6 Mathematics 
 Randy Carspecken , Whitefish High School ," Whitefish , Montana ", 1993 Award | 7-12 Mathematics 
 John Carter , Stevenson High School ," Lincolnshire , Illinois ", 1993 Award | 7-12 Mathematics 
 Ruth Casey , Anderson County High School ," Lawrenceburg , Kentucky ", 1993 Award | 7-12 Mathematics 
 Judith Chaddick , Espanola Public Schools ," Espanola , New Mexico ", 1993 Award | K-6 Science 
 Roy Chambers , Beaumont Middle School ," Portland , Oregon ", 1993 Award | 7-12 Science 
 Faye Clark , Manchester Elementary School ," Manchester Center , Vermont ", 1993 Award | 7-12 Mathematics 
 Jane Clark , Caroline Elementary School ," Slaterville Springs , New York ", 1993 Award | K-6 Science 
 Paul Clark , University of Nebraska at Omaha ," Omaha , Nebraska ", 1993 Award | K-6 Science 
 Richard Clevenstine , Ridley School District ," Folsom , Pennsylvania ", 1993 Award | 7-12 Science 
 Lauriann Coffey , Vandenboom Elementary School ," Marquette , Michigan ", 1993 Award | K-6 Mathematics 
 Suzanne Collard , Hobbs Middle School ," Milton , Florida ", 1993 Award | 7-12 Science 
 Helen Compton , North Carolina School of Science and Mathematics ," Durham , North Carolina ", 1993 Award | 7-12 Mathematics 
 Patricia Cook , Lakeside Primary School ," Hot Springs , Arkansas ", 1993 Award | K-6 Science 
 Cheryl Cooper , Fort Greely School ," Delta Junction , Alaska ", 1993 Award | K-6 Science 
 Sylvia Cooper , Morgantown High School ," Morgantown , West Virginia ", 1993 Award | 7-12 Science 
 Yvonne Corley , Cholla Elementary School ," Casa Grande , Arizona ", 1993 Award | K-6 Science 
 Cheryl Cowan , Mayflower Mill Elementary School ," Lafayette , Indiana ", 1993 Award | K-6 Science 
 Doris Cowan , Auburndale High School ," Auburndale , Florida ", 1993 Award | 7-12 Mathematics 
 Jane Crawford , Russell Elementary School ," Kalispell , Montana ", 1993 Award | K-6 Mathematics 
 Janet Cyr , Blue Valley North High School ," Overland Park , Kansas ", 1993 Award | 7-12 Science 
 Kathleen Daly , Menwith Hill School ," APO , Armed Forces Europe ", 1993 Award | 7-12 Mathematics 
 Joan Dawson , Chapman Elementary School ," Chapman , Kansas ", 1993 Award | K-6 Science 
 R. Dillard , Myers Park High School ," Charlotte , North Carolina ", 1993 Award | 7-12 Science 
 Kathleen Donahue , Alfredo Andrews School ," St. Croix , Virgin Islands ", 1993 Award | K-6 Mathematics 
 Priscilla Donkle , South Central Jr/Sr High School ," Union Mills , Indiana ", 1993 Award | 7-12 Mathematics 
 Cynthia Doore , Vina Chattin Elementary School ," Browning , Montana ", 1993 Award | K-6 Science 
 Charles Downing , Monte Vista High ," Spring Valley , California ", 1993 Award | 7-12 Science 
 Dorothy DuBois-Neumann , Wetzel Elementary School ," APO , Armed Forces Europe ", 1993 Award | K-6 Science 
 Carol Durham , Buena Vista Elementary School ," Greer , South Carolina ", 1993 Award | K-6 Science 
" James Ealy, Jr. ", The Peddie School ," Hightstown , New Jersey ", 1993 Award | 7-12 Science 
 Ann Elling , Rocky Branch Elementary School ," River Falls , Wisconsin ", 1993 Award | K-6 Mathematics 
 Dianne Epp , East High School ," Lincoln , Nebraska ", 1993 Award | 7-12 Science 
 Joyce Evans , Monongah Elementary School ," Monongah , West Virginia ", 1993 Award | K-6 Mathematics 
" Glenn Fay, Jr. ", Champlain Valley Union High School ," Hinesburg , Vermont ", 1993 Award | 7-12 Science 
 Jeraldine Ferry , Mount St. Charles Academy ," Woonsocket , Rhode Island ", 1993 Award | 7-12 Science 
 Ronald Fox , Lewis Central High School ," Council Bluffs , Iowa ", 1993 Award | 7-12 Mathematics 
 Linda Froschauer , Weston Middle School ," Weston , Connecticut ", 1993 Award | K-6 Science 
 Craig Gabler , Centralia High School ," Centralia , Washington ", 1993 Award | 7-12 Science 
 Lynn Gaumond , Tootin&apos; Hills School ," West Simsbury , Connecticut ", 1993 Award | K-6 Mathematics 
 Julianne Gause , Thompson Public School ," Thompson , North Dakota ", 1993 Award | K-6 Mathematics 
 Ruth Gleason , Pleasant Ridge Elementary School ," Overland Park , Kansas ", 1993 Award | K-6 Mathematics 
 David Glenn , Adams High School ," Rochester Hills , Michigan ", 1993 Award | 7-12 Science 
 Richard Glueck , Orono Middle School ," Orono , Maine ", 1993 Award | K-6 Mathematics 
 Patricia Goodnight , John Eaton Elementary School ," Washington , District of Columbia ", 1993 Award | K-6 Science 
 Sharron Gorrell , Lake Braddock Middle School ," Burke , Virginia ", 1993 Award | K-6 Mathematics 
 Alan Grinsteinner , Mobridge Middle School ," Mobridge , South Dakota ", 1993 Award | 7-12 Mathematics 
 Gordon Hahn , Glasgow High School ," Glasgow , Montana ", 1993 Award | 7-12 Science 
 Joan Hall , Summit Country Day School ," Cincinnati , Ohio ", 1993 Award | 7-12 Science 
 Thomas Hall , Colquitt County High School ," Moultrie , Georgia ", 1993 Award | 7-12 Science 
 Linda Hallenbeck , East Woods Elementary School ," Hudson , Ohio ", 1993 Award | K-6 Mathematics 
 Karen Hardin , Fleming Rees Elementary School ," Houston , Texas ", 1993 Award | K-6 Mathematics 
 Reeda Hart , Grant&apos;s Lick Elementary School ," Alexandria , Kentucky ", 1993 Award | K-6 Science 
 Carol Hatcher , Guild Elementary School ," Gallatin , Tennessee ", 1993 Award | K-6 Science 
 Jan Heaton , Lafayette Elementary School ," Albany , Oregon ", 1993 Award | K-6 Mathematics 
 Cheryl Hedden , Sitka High School ," Sitka , Alaska ", 1993 Award | 7-12 Mathematics 
 Karen Heizer , Glenwood Elementary School ," Enid , Oklahoma ", 1993 Award | K-6 Science 
 David Henner , St. John&apos;s School ," San Juan , Puerto Rico ", 1993 Award | 7-12 Science 
 Linda Hileman , Saratoga Elementary School ," Saratoga , Wyoming ", 1993 Award | K-6 Science 
 Peter Hoff , Kennebunkport Consolidated School ," Kennebunkport , Maine ", 1993 Award | K-6 Science 
 Anne Holbrook , Robert E. Lucas Intermediate School ," Cincinnati , Ohio ", 1993 Award | K-6 Science 
 Carol Holliday , D.L. Carter Elementary School ," Effingham , South Carolina ", 1993 Award | K-6 Mathematics 
 Barry Holmen , Central Campus High School ," Minot , North Dakota ", 1993 Award | 7-12 Mathematics 
 Dennis Holt , Champlin Park Senior High School ," Champlin , Minnesota ", 1993 Award | 7-12 Mathematics 
 Kathryn Hopkins , Hodgson Vo-Tech High School ," Newark , Delaware ", 1993 Award | 7-12 Science 
 Judith Howard , Grace Christian Middle School ," Hattiesburg , Mississippi ", 1993 Award | K-6 Mathematics 
 Andrea Hyslop , Mt. Tabor Middle School ," Portland , Oregon ", 1993 Award | 7-12 Mathematics 
 Hector Ibarra , West Branch Middle School ," West Branch , Iowa ", 1993 Award | 7-12 Science 
 Barbara Jacobs , H.B. Slaughter Elementary School ," Louisville , Kentucky ", 1993 Award | K-6 Mathematics 
 Sharon Janulaw , Marguerite Hahn Elementary School ," Rohnert Park , California ", 1993 Award | K-6 Science 
 Terri Jelinek , North Bend Central ," North Bend , Nebraska ", 1993 Award | 7-12 Mathematics 
 Karen Jenkins , Griffin School ," Olympia , Washington ", 1993 Award | K-6 Mathematics 
 Rick Jennings , Yakima School District ," Yakima , Washington ", 1993 Award | 7-12 Mathematics 
 Bruce Jones , The Blake School ," Hopkins , Minnesota ", 1993 Award | 7-12 Science 
 Mary Elizabeth Jorgensen , Kate Wickham Elementary ," Coralville , Iowa ", 1993 Award | K-6 Mathematics 
 David Kapolka , Northern High School ," Grand Rapids , Michigan ", 1993 Award | 7-12 Mathematics 
 Joseph Keating , California State University ," San Marcos , California ", 1993 Award | 7-12 Science 
 Michelle Keller , Bisbee- Egeland High School ," Bisbee , North Dakota ", 1993 Award | 7-12 Science 
 Donna Kenestrick , William Fox Elementary School ," Richmond , Virginia ", 1993 Award | K-6 Science 
 Saundra Kent , McKelvie Middle School ," Bedford , New Hampshire ", 1993 Award | 7-12 Science 
 Patti Kimble , Star Lane Center ," Douglas , Wyoming ", 1993 Award | 7-12 Science 
 Michael Koehler , Blue Valley North High School ," Overland Park , Kansas ", 1993 Award | 7-12 Mathematics 
 Laura Krich , William Diamond Middle School ," Lexington , Massachusetts ", 1993 Award | 7-12 Science 
 Ellen Lamb , Douglas Freeman High School ," Richmond , Virginia ", 1993 Award | 7-12 Science 
 Emily Wray Lamont , Episcopal High School ," Baton Rouge , Louisiana ", 1993 Award | K-6 Mathematics 
 Ruth Larkin , Portsmouth Middle School ," Portsmouth , New Hampshire ", 1993 Award | 7-12 Mathematics 
 Robin Levine-Wissing , Bellevue High School ," Bellevue , Washington ", 1993 Award | 7-12 Mathematics 
 Shauna Lund , Valley View Elementary School ," Bountiful , Utah ", 1993 Award | K-6 Mathematics 
 Sue Ellen Lyons , Holy Cross High School ," New Orleans , Louisiana ", 1993 Award | 7-12 Science 
 Betsy B. Mabry , DeWitt Waller Junior High School ," Enid , Oklahoma ", 1993 Award | 7-12 Science 
 Sharon Marks , Gaskill Elementary School ," Jeannette , Pennsylvania ", 1993 Award | K-6 Mathematics 
 Nancy Matsukawa , Kealakehe Intermediate School ," Kailua-Kona , Hawaii ", 1993 Award | 7-12 Mathematics 
 Betty Mayberry , Gallatin High School ," Gallatin , Tennessee ", 1993 Award | 7-12 Mathematics 
 Diana McCann , Springfield Elementary School ," Springfield , South Dakota ", 1993 Award | K-6 Mathematics 
 Marlys I. McCurdy , Highland High School ," Pocatello , Idaho ", 1993 Award | 7-12 Science 
 Carolyn McDaniel ," &quot;Martin Luther King, Jr. Elementary School&quot; "," Washington , District of Columbia ", 1993 Award | K-6 Mathematics 
 Janet McGregor , Deep Creek Elementary School ," Punta Gorda , Florida ", 1993 Award | K-6 Mathematics 
 Grant McMicken , San Juan High School ," Citrus Heights , California ", 1993 Award | 7-12 Mathematics 
 Timothy McNamara , Irondequoit High School ," Rochester , New York ", 1993 Award | 7-12 Mathematics 
 Stephen Meehan , Highlands Elementary School ," Naperville , Illinois ", 1993 Award | K-6 Mathematics 
 Edith Merritt , Rock Quarry Elementary School ," Tuscaloosa , Alabama ", 1993 Award | K-6 Science 
 Mary Louise Metz , Rockwood Area High School ," Rockwood , Pennsylvania ", 1993 Award | 7-12 Mathematics 
 Katherine Miles , Benjamin Stoddert Middle School ," Waldorf , Maryland ", 1993 Award | 7-12 Mathematics 
 Joseph Modica , Hoehne Elementary School ," Hoehne , Colorado ", 1993 Award | K-6 Mathematics 
 Sylvia Moore , Ayden Elementary School ," Ayden , North Carolina ", 1993 Award | K-6 Mathematics 
 Donna Morelle , Central Grammar School ," Cumberland , Rhode Island ", 1993 Award | K-6 Mathematics 
 Linda J. Morris , Sheridan District #2 ," Englewood , Colorado ", 1993 Award | 7-12 Science 
 Belinda Moss , Maury County Public Schools ," Columbia , Tennessee ", 1993 Award | K-6 Mathematics 
 Samia Mounts , Seoul American High School ," APO , Armed Forces Pacific ", 1993 Award | 7-12 Science 
 Carolyn Murphy , Cumberland High School ," Cumberland , Rhode Island ", 1993 Award | 7-12 Mathematics 
 Sharon Nelson , Waunakee High School ," Waunakee , Wisconsin ", 1993 Award | 7-12 Science 
 Pam Newberry , George Wythe High School ," Wytheville , Virginia ", 1993 Award | 7-12 Mathematics 
" Ralph Newell, Jr. ", South Portland High School ," South Portland , Maine ", 1993 Award | 7-12 Science 
 Suzanne Newton , Artesia Intermediate School ," Artesia , New Mexico ", 1993 Award | 7-12 Mathematics 
 Christina Nicolson , The Pike School ," Andover , Massachusetts ", 1993 Award | K-6 Mathematics 
 Elizabeth Nirschl , Lincoln Primary School ," Pendleton , Oregon ", 1993 Award | K-6 Science 
 Frank Noble , East Elementary School ," Spearfish , South Dakota ", 1993 Award | K-6 Science 
 Patricia Noble , Harmony Hills Elementary School ," Silver Spring , Maryland ", 1993 Award | K-6 Mathematics 
 Michael Offutt , Barrington High School ," Barrington , Illinois ", 1993 Award | 7-12 Science 
 Deborah O'Hara , Shelby County High School ," Columbiana , Alabama ", 1993 Award | 7-12 Mathematics 
 Norma Olson , Horizons Elementary School ," Lacey , Washington ", 1993 Award | K-6 Mathematics 
 Elizabeth Orgera , Gaines Elementary School ," Athens , Georgia ", 1993 Award | K-6 Mathematics 
 Paul Osypuk , Mansfield Middle School ," Storrs , Connecticut ", 1993 Award | 7-12 Mathematics 
 Janet Parigini , Greenbrae Elementary School ," Sparks , Nevada ", 1993 Award | K-6 Science 
 Gale Passenier , Charlotte Amalie High School ," St. Thomas , Virgin Islands ", 1993 Award | 7-12 Mathematics 
 Lee Pedersen , Vinalhaven High School ," Vinalhaven , Maine ", 1993 Award | 7-12 Mathematics 
 Ann Pegg , Wollaston Elementary School ," Quincy , Massachusetts ", 1993 Award | K-6 Science 
 Marian Pelking , East Picacho Elementary School ," Las Cruces , New Mexico ", 1993 Award | K-6 Mathematics 
 Julio Pereira , Dearborn Middle School ," Roxbury , Massachusetts ", 1993 Award | 7-12 Mathematics 
 Carmen Perez-Ortega , American Military Academy ," Guaynabo , Puerto Rico ", 1993 Award | 7-12 Mathematics 
 Dale Peters , Urbana High School ," Ijamsville , Maryland ", 1993 Award | 7-12 Science 
 Christina Petrusick , Dreher High School ," Columbia , South Carolina ", 1993 Award | 7-12 Mathematics 
 Ramona Philhower , Maclary Elementary School ," Newark , Delaware ", 1993 Award | K-6 Science 
 Cynthia Radle , McCullough High School ," The Woodlands , Texas ", 1993 Award | 7-12 Science 
 James Rahn , Southern Regional High School (Retired) ," Manahawkin , New Jersey ", 1993 Award | 7-12 Mathematics 
 Stephen Randak , Jefferson High School ," Lafayette , Indiana ", 1993 Award | 7-12 Science 
 Sheridan Rayl , Leach Elementary School ," Anderson , Indiana ", 1993 Award | K-6 Mathematics 
 S. Reardon , Damascus Elementary School ," Damascus , Maryland ", 1993 Award | K-6 Science 
 Douglas Rickard , Horizon High School ," Scottsdale , Arizona ", 1993 Award | 7-12 Science 
 Carolyn Riley , Ridge Circle Elementary School ," Streamwood , Illinois ", 1993 Award | K-6 Science 
 Ronald Ritchhart , Graland Country Day School ," Denver , Colorado ", 1993 Award | 7-12 Mathematics 
 Socorro Rivera-Martinez , Consuelo Perez Cintr&#xC3;&#xB3;n ," Mayaguez , Puerto Rico ", 1993 Award | K-6 Mathematics 
 Cindy Roberts , Wall Lake-View Auburn Schools ," Wall Lake , Iowa ", 1993 Award | K-6 Science 
 Stuart Robertson , E.G. Sherburne Elementary School ," Pelham , New Hampshire ", 1993 Award | K-6 Mathematics 
 Vasha Rosenblum , South Shades Crest Elementary School ," Hoover , Alabama ", 1993 Award | K-6 Mathematics 
 Carol Ruswick , Harvey Oaks Elementary School ," Omaha , Nebraska ", 1993 Award | K-6 Mathematics 
 Ruth Ruud , Walnut Creek Middle School ," Fairview , Pennsylvania ", 1993 Award | K-6 Science 
 Pamela S. Salazar , Bellevue High School ," Bellevue , Washington ", 1993 Award | 7-12 Science 
 Maria Savaiano , Barton Open School ," Minneapolis , Minnesota ", 1993 Award | K-6 Science 
 Cheryl Schultz , Marvista Elementary School ," Seattle , Washington ", 1993 Award | K-6 Science 
 Sharon Schwarz , Marquand - Zion R VI Schools ," Marquand , Missouri ", 1993 Award | 7-12 Mathematics 
 Richard Schwentker , Washington Senior High School ," Washington , Missouri ", 1993 Award | 7-12 Science 
 Brenda Scott , Anderson Elementary School ," Booneville , Mississippi ", 1993 Award | K-6 Science 
 David Scott , Glasgow High School ," Newark , Delaware ", 1993 Award | 7-12 Mathematics 
 Leonard Shanks , Isaac E. Imes Magnet School ," Glendale , Arizona ", 1993 Award | K-6 Mathematics 
 Gloria Shoda , Pearl Ridge Elementary School ," Aiea , Hawaii ", 1993 Award | K-6 Mathematics 
 Linda Sinclair , Lexington High School ," Lexington , South Carolina ", 1993 Award | 7-12 Science 
 Arthur Skerker , Hartford Public High School ," Hartford , Connecticut ", 1993 Award | 7-12 Science 
 Joan Sloan , Brookwood High School ," Snellville , Georgia ", 1993 Award | 7-12 Mathematics 
 Betty Smith , Ruth Hill Elementary School ," Newnan , Georgia ", 1993 Award | K-6 Science 
 Melinda Spears , Texarkana Arkansas Senior High School ," Texarkana , Arkansas ", 1993 Award | 7-12 Mathematics 
 Gloria Standage , Nelson Wilks Elementary School ," Mountain Home , Arkansas ", 1993 Award | K-6 Mathematics 
 Sallyjeane Stein , Dennis Township Elementary School ," Dennisville , New Jersey ", 1993 Award | K-6 Mathematics 
 Charles Storm , Heber Springs High School ," Heber Springs , Arkansas ", 1993 Award | 7-12 Science 
 Arsena Strange , Model Secondary School for the Deaf ," Washington , District of Columbia ", 1993 Award | 7-12 Mathematics 
 Jane Streubel , Gate City Elementary School ," Pocatello , Idaho ", 1993 Award | K-6 Science 
 Emerita Tana , Brown Elementary School ," Florissant , Missouri ", 1993 Award | K-6 Mathematics 
 David Taylor , Tates Creek Senior High School ," Lexington , Kentucky ", 1993 Award | 7-12 Science 
 Deborah Teague , Hawthorne Elementary School ," Mexico , Missouri ", 1993 Award | K-6 Science 
 Gail Terry , Sunset Elementary School ," Cody , Wyoming ", 1993 Award | K-6 Mathematics 
 Gloria. Thompson , Taft Junior High School ," Washington , District of Columbia ", 1993 Award | 7-12 Science 
 Judy Thrasher , Selma Elementary School ," Selma , North Carolina ", 1993 Award | K-6 Science 
 Teresita Torres-Dickson , Wainwright Elementary School ," Lansing , Michigan ", 1993 Award | K-6 Science 
 Timothy Trapp , Mountain View High School ," Mesa , Arizona ", 1993 Award | 7-12 Mathematics 
 Harold Tuttle , South Meadow School ," Peterborough , New Hampshire ", 1993 Award | K-6 Science 
 Mary Varghese , Tafuna High School ," Pago Pago , American Samoa ", 1993 Award | 7-12 Science 
 Nancy Vibeto , Jim Hill Junior High School ," Minot , North Dakota ", 1993 Award | K-6 Science 
 Pamela Walker , Nacogdoches ISD ," Nacogdoches , Texas ", 1993 Award | 7-12 Mathematics 
 Clinton Wallace , Herndon Magnet School ," Belcher , Louisiana ", 1993 Award | 7-12 Mathematics 
 Ann Walls , Marshall County High School ," Lewisburg , Tennessee ", 1993 Award | 7-12 Science 
 Kathleen Ward-Bowen , Narragansett Elementary School ," Narragansett , Rhode Island ", 1993 Award | K-6 Science 
 Randyll Warehime , Iolani School ," Honolulu , Hawaii ", 1993 Award | 7-12 Science 
 Donna Watson , Bluefield College ," Bluefield , Virginia ", 1993 Award | 7-12 Mathematics 
 Wendy Weiner , Parkview Elementary School ," Milwaukee , Wisconsin ", 1993 Award | K-6 Science 
 Richard Weir , Putnam City Administration ," Oklahoma City , Oklahoma ", 1993 Award | K-6 Mathematics 
 Roxson Welch , Baker Heights Elementary School ," Baker , Louisiana ", 1993 Award | K-6 Science 
 Clifford West , Frankfurt Elementary School ," APO , Armed Forces Europe ", 1993 Award | K-6 Mathematics 
 Kenneth Wester , Mississippi School for Mathematics ," Columbus , Mississippi ", 1993 Award | 7-12 Science 
 David White , Barre Town Elementary School ," Barre , Vermont ", 1993 Award | K-6 Science 
 Patrick White , Clark Fork Jr./Sr. High School ," Clark Fork , Idaho ", 1993 Award | 7-12 Mathematics 
 Ellen White-Volk , Stonewall Child Development ," San Antonio , Texas ", 1993 Award | K-6 Science 
 Cynthia Wilkins , Northwest Rankin Attendance Center ," Brandon , Mississippi ", 1993 Award | 7-12 Mathematics 
 Lynn Williams , Mendenhall River Community School ," Juneau , Alaska ", 1993 Award | K-6 Mathematics 
 Mark Woodworth , Westgate Elementary School ," Lakewood , Colorado ", 1993 Award | K-6 Science 
 Susan Yanagida , Mililani Mauka Elementary School ," Mililani , Hawaii ", 1993 Award | K-6 Science 
,,,
 Tracy Ajello , Doolittle School ," Cheshire , Connecticut ", 1994 Award | K-6 Science 
 Joel Albright , Douglas High School ," Ellsworth A.F.B. , South Dakota ", 1994 Award | 7-12 Mathematics 
 Paul Allan , Colony High School ," Palmer , Alaska ", 1994 Award | 7-12 Science 
 Deborah Anderson , Gosport Elementary School ," Gosport , Indiana ", 1994 Award | K-6 Mathematics 
 Rhulene Artis , COSMIC Center ," Milwaukee , Wisconsin ", 1994 Award | K-6 Science 
 Marshalyn Baker , Williams Junior High School ," Oakland , Maine ", 1994 Award | 7-12 Mathematics 
 Maria Baquero , American Military Academy ," , Puerto Rico ", 1994 Award | K-6 Science 
 M. Barry , Burlington High School ," Burlington , Vermont ", 1994 Award | 7-12 Science 
 Michele Bartlett , Rundlett Junior High School ," Concord , New Hampshire ", 1994 Award | 7-12 Science 
 David Barton , Olympus High School ," Salt Lake City , Utah ", 1994 Award | 7-12 Mathematics 
 Robert Beckwith , Centennial High School ," Meridian , Idaho ", 1994 Award | 7-12 Science 
 Nancy Jo Bellows , Willard Elementary School ," York , Nebraska ", 1994 Award | K-6 Science 
 Alfred Benbenek , Frank E. Holt School ," Whitman , Massachusetts ", 1994 Award | K-6 Science 
 Roy Beven , Mission Viejo High School ," San Juan Capistrano , California ", 1994 Award | 7-12 Science 
 Dindial Birbahadur , Arthur A. Richards Junior ," Frederiksted , Virgin Islands ", 1994 Award | 7-12 Mathematics 
 Debra Bjorna , Desert Sky Middle School ," Glendale , Arizona ", 1994 Award | 7-12 Science 
 Lois Blackwood , Central Elementary School ," Longmont , Colorado ", 1994 Award | K-6 Mathematics 
 Catherine Blair , School District of Hillsborough County ," Tampa , Florida ", 1994 Award | K-6 Science 
 Bonnie Boggs , Garfield Elementary School ," Miles City , Montana ", 1994 Award | K-6 Science 
 Martha Boswell , Manning Middle School ," Manning , South Carolina ", 1994 Award | 7-12 Science 
 Beverly Bowers , Mannington Middle School ," Mannington , West Virginia ", 1994 Award | 7-12 Science 
 Sharon Boyd , Central Elementary School ," Cabot , Arkansas ", 1994 Award | K-6 Science 
 Richard Brannan , West Sylvan Middle School ," Portland , Oregon ", 1994 Award | 7-12 Mathematics 
 Wallece Brewer , Northeast Arkansas Rural Institute for Math/Science ," State University , Arkansas ", 1994 Award | 7-12 Mathematics 
 Ellen Brown , McKinley Elementary School ," Elkins Park , Pennsylvania ", 1994 Award | K-6 Mathematics 
 Susan Brown , Sierra Middle School ," Las Cruces , New Mexico ", 1994 Award | 7-12 Science 
 Fie Budzinsky , Portland High School ," Portland , Connecticut ", 1994 Award | 7-12 Science 
 Suzette Burton , Hancock High School ," Bay St. Louis , Mississippi ", 1994 Award | 7-12 Science 
" Ellen Callaghan, OSF ", Mount Carmel High School ," Essex , Maryland ", 1994 Award | 7-12 Science 
 Elisabeth Calvert-Arrington , Woodside Elementary School ," Topsham , Maine ", 1994 Award | K-6 Science 
